Keyword,SQL-2023,DB2-13,Mimer SQL-11,MySQL-8,Oracle-23c,PostgreSQL-16,SQL Server-2022,Teradata-15
REF,SQL-2023,,,,,,,Teradata
REFERENCES,SQL-2023,DB2,Mimer,MySQL,,PostgreSQL,SQL Server,Teradata
REFERENCING,SQL-2023,,Mimer,,,,,Teradata
REFRESH,,DB2,,,,,,
REGEXP,,,,MySQL,,,,
REGR_AVGX,SQL-2023,,,,,,,Teradata
REGR_AVGY,SQL-2023,,,,,,,Teradata
REGR_COUNT,SQL-2023,,,,,,,Teradata
REGR_INTERCEPT,SQL-2023,,,,,,,Teradata
REGR_R2,SQL-2023,,,,,,,Teradata
REGR_SLOPE,SQL-2023,,,,,,,Teradata
REGR_SXX,SQL-2023,,,,,,,Teradata
REGR_SXY,SQL-2023,,,,,,,Teradata
REGR_SYY,SQL-2023,,,,,,,Teradata
RELATIVE,,,,,,,,Teradata
RELEASE,SQL-2023,DB2,Mimer,MySQL,,,,Teradata
RENAME,,DB2,,MySQL,Oracle,,,Teradata
REPEAT,SQL/PSM-2016,DB2,Mimer,MySQL,,,,Teradata
REPLACE,,,,MySQL,,,,Teradata
REPLICATION,,,,,,,SQL Server,Teradata
REPOVERRIDE,,,,,,,,Teradata
REQUEST,,,,,,,,Teradata
REQUIRE,,,,MySQL,,,,
RESIGNAL,SQL/PSM-2016,DB2,Mimer,MySQL,,,,
RESOURCE,,,,,Oracle,,,
RESTART,,,,,,,,Teradata
RESTORE,,,,,,,SQL Server,Teradata
RESTRICT,,DB2,,MySQL,,,SQL Server,Teradata
RESULT,SQL-2023,DB2,Mimer,,,,,Teradata
RESULT_SET_LOCATOR,,DB2,,,,,,
RESUME,,,,,,,,Teradata
RET,,,,,,,,Teradata
RETRIEVE,,,,,,,,Teradata
RETURN,SQL-2023,DB2,Mimer,MySQL,,,SQL Server,Teradata
RETURNING,,,,,,PostgreSQL,,
RETURNS,SQL-2023,DB2,Mimer,,,,,Teradata
REVALIDATE,,,,,,,,Teradata
REVERT,,,,,,,SQL Server,
REVOKE,SQL-2023,DB2,Mimer,MySQL,Oracle,,SQL Server,Teradata
RIGHT,SQL-2023,DB2,Mimer,MySQL,,PostgreSQL,SQL Server,Teradata
RIGHTS,,,,,,,,Teradata
RLIKE,,,,MySQL,,,,
ROLE,,DB2,,,,,,Teradata
ROLLBACK,SQL-2023,DB2,Mimer,,,,SQL Server,Teradata
ROLLFORWARD,,,,,,,,Teradata
ROLLUP,SQL-2023,DB2,,,,,,Teradata
ROUND_CEILING,,DB2,,,,,,
ROUND_DOWN,,DB2,,,,,,
ROUND_FLOOR,,DB2,,,,,,
ROUND_HALF_DOWN,,DB2,,,,,,
ROUND_HALF_EVEN,,DB2,,,,,,
ROUND_HALF_UP,,DB2,,,,,,
ROUND_UP,,DB2,,,,,,
ROUTINE,,,,,,,,Teradata
ROW,SQL-2023,DB2,Mimer,MySQL,Oracle,,,Teradata
ROWCOUNT,,,,,,,SQL Server,
ROWGUIDCOL,,,,,,,SQL Server,
ROWID,,,,,Oracle,,,Teradata
ROWNUM,,,,,Oracle,,,
ROWS,SQL-2023,,Mimer,MySQL,Oracle,,,Teradata
ROWSET,,DB2,,,,,,
ROW_NUMBER,SQL-2023,,,MySQL,,,,Teradata
RPAD,SQL-2023,,,,,,,
RULE,,,,,,,SQL Server,
RUN,,DB2,,,,,,
RUNNING,SQL-2023,,,,,,,
SAMPLE,,,,,,,,Teradata
SAMPLEID,,,,,,,,Teradata
SAVE,,,,,,,SQL Server,
SAVEPOINT,SQL-2023,DB2,,,,,,Teradata
SCHEMA,,DB2,,MySQL,,,SQL Server,Teradata
SCHEMAS,,,,MySQL,,,,
SCOPE,SQL-2023,,,,,,,Teradata
SCRATCHPAD,,DB2,,,,,,
SCROLL,SQL-2023,,Mimer,,,,,Teradata
SEARCH,SQL-2023,,,,,,,Teradata
SECOND,SQL-2023,DB2,Mimer,,,,,Teradata
SECONDS,,DB2,,,,,,
SECOND_MICROSECOND,,,,MySQL,,,,
SECQTY,,DB2,,,,,,
SECTION,,,,,,,,Teradata
SECURITY,,DB2,,,,,,
SECURITYAUDIT,,,,,,,SQL Server,
SEEK,SQL-2023,,,,,,,
SEL,,,,,,,,Teradata
SELECT,SQL-2023,DB2,Mimer,MySQL,Oracle,PostgreSQL,SQL Server,Teradata
SEMANTICKEYPHRASETABLE,,,,,,,SQL Server,
SEMANTICSIMILARITYDETAILSTABLE,,,,,,,SQL Server,
SEMANTICSIMILARITYTABLE,,,,,,,SQL Server,
SENSITIVE,SQL-2023,DB2,,MySQL,,,,
SEPARATOR,,,,MySQL,,,,
SEQUENCE,,DB2,,,,,,Teradata
SESSION,,,,,Oracle,,,Teradata
SESSION_USER,SQL-2023,DB2,Mimer,,,PostgreSQL,SQL Server,Teradata
SET,SQL-2023,DB2,Mimer,MySQL,Oracle,,SQL Server,Teradata
SETRESRATE,,,,,,,,Teradata
SETS,,,,,,,,Teradata
SETSESSRATE,,,,,,,,Teradata
SETUSER,,,,,,,SQL Server,
SHARE,,,,,Oracle,,,
SHOW,SQL-2023,,,MySQL,,,,Teradata
SHUTDOWN,,,,,,,SQL Server,
SIGNAL,SQL/PSM-2016,DB2,Mimer,MySQL,,,,
SIMILAR,SQL-2023,,,,,PostgreSQL,,
SIMPLE,,DB2,,,,,,
SIN,SQL-2023,,,,,,,Teradata
SINH,SQL-2023,,,,,,,Teradata
SIZE,,,,,Oracle,,,Teradata
SKEW,,,,,,,,Teradata
SKIP,SQL-2023,,,,,,,
SMALLINT,SQL-2023,,,MySQL,Oracle,,,Teradata
SOME,SQL-2023,DB2,Mimer,,,PostgreSQL,SQL Server,Teradata
SOUNDEX,,,,,,,,Teradata
SOURCE,,DB2,,,,,,
SPACE,,,,,,,,Teradata
SPATIAL,,,,MySQL,,,,
SPECIFIC,SQL-2023,DB2,Mimer,MySQL,,,,Teradata
SPECIFICTYPE,SQL-2023,,,,,,,Teradata
SPOOL,,,,,,,,Teradata
SQL,SQL-2023,,Mimer,MySQL,,,,Teradata
SQLEXCEPTION,SQL-2023,,Mimer,MySQL,,,,Teradata
SQLSTATE,SQL-2023,,Mimer,MySQL,,,,Teradata
SQLTEXT,,,,,,,,Teradata
SQLWARNING,SQL-2023,,Mimer,MySQL,,,,Teradata
SQL_BIG_RESULT,,,,MySQL,,,,
SQL_CALC_FOUND_ROWS,,,,MySQL,,,,
SQL_SMALL_RESULT,,,,MySQL,,,,
SQRT,SQL-2023,,,,,,,Teradata
SS,,,,,,,,Teradata
SSL,,,,MySQL,,,,
STANDARD,,DB2,,,,,,
START,SQL-2023,,Mimer,,Oracle,,,Teradata
STARTING,,,,MySQL,,,,
STARTUP,,,,,,,,Teradata
STATE,,,,,,,,Teradata
STATEMENT,,DB2,,,,,,Teradata
STATIC,SQL-2023,DB2,Mimer,,,,,Teradata
STATISTICS,,,,,,,SQL Server,Teradata
STAY,,DB2,,,,,,
STDDEV_POP,SQL-2023,,,,,,,Teradata
STDDEV_SAMP,SQL-2023,,,,,,,Teradata
STEPINFO,,,,,,,,Teradata
STOGROUP,,DB2,,,,,,
STORED,,,,MySQL,,,,
STORES,,DB2,,,,,,
STRAIGHT_JOIN,,,,MySQL,,,,
STRING_CS,,,,,,,,Teradata
STRUCTURE,,,,,,,,Teradata
STYLE,,DB2,,,,,,
SUBMULTISET,SQL-2023,,,,,,,
SUBSCRIBER,,,,,,,,Teradata
SUBSET,SQL-2023,,,,,,,
SUBSTR,,,,,,,,Teradata
SUBSTRING,SQL-2023,,,,,,,Teradata
SUBSTRING_REGEX,SQL-2023,,,,,,,
SUCCEEDS,SQL-2023,,,,,,,
SUCCESSFUL,,,,,Oracle,,,
SUM,SQL-2023,,,,,,,Teradata
SUMMARY,,DB2,,,,,,Teradata
SUSPEND,,,,,,,,Teradata
SYMMETRIC,SQL-2023,,Mimer,,,PostgreSQL,,
SYNONYM,,DB2,,,Oracle,,,
SYSDATE,,DB2,,,Oracle,,,
SYSTEM,SQL-2023,DB2,,MySQL,,,,
SYSTEM_TIME,SQL-2023,,,,,,,
SYSTEM_USER,SQL-2023,,Mimer,,,PostgreSQL,SQL Server,Teradata
SYSTIMESTAMP,,DB2,,,,,,
TABLE,SQL-2023,DB2,Mimer,MySQL,Oracle,PostgreSQL,SQL Server,Teradata
TABLESAMPLE,SQL-2023,,,,,PostgreSQL,SQL Server,
TABLESPACE,,DB2,,,,,,
TAN,SQL-2023,,,,,,,Teradata
TANH,SQL-2023,,,,,,,Teradata
TBL_CS,,,,,,,,Teradata
TEMPORARY,,,,,,,,Teradata
TERMINATE,,,,,,,,Teradata
TERMINATED,,,,MySQL,,,,
TEXTSIZE,,,,,,,SQL Server,
THAN,,,,,,,,Teradata
THEN,SQL-2023,DB2,Mimer,MySQL,Oracle,PostgreSQL,SQL Server,Teradata
THRESHOLD,,,,,,,,Teradata
TIME,SQL-2023,,,,,,,Teradata
TIMESTAMP,SQL-2023,,,,,,,Teradata
TIMEZONE_HOUR,SQL-2023,,Mimer,,,,,Teradata
TIMEZONE_MINUTE,SQL-2023,,Mimer,,,,,Teradata
TINYBLOB,,,,MySQL,,,,
TINYINT,,,,MySQL,,,,
TINYTEXT,,,,MySQL,,,,
TITLE,,,,,,,,Teradata
TO,SQL-2023,DB2,Mimer,MySQL,Oracle,PostgreSQL,SQL Server,Teradata
TOP,,,,,,,SQL Server,
TRACE,,,,,,,,Teradata
TRAILING,SQL-2023,,Mimer,MySQL,,PostgreSQL,,Teradata
TRAN,,,,,,,SQL Server,
TRANSACTION,,,,,,,SQL Server,Teradata
TRANSLATE,SQL-2023,,,,,,,Teradata
TRANSLATE_CHK,,,,,,,,Teradata
TRANSLATE_REGEX,SQL-2023,,,,,,,
TRANSLATION,SQL-2023,,,,,,,Teradata
TREAT,SQL-2023,,Mimer,,,,,Teradata
TRIGGER,SQL-2023,DB2,Mimer,MySQL,Oracle,,SQL Server,Teradata
TRIM,SQL-2023,,,,,,,Teradata
TRIM_ARRAY,SQL-2023,,,,,,,
TRUE,SQL-2023,,Mimer,MySQL,,PostgreSQL,,Teradata
TRUNCATE,SQL-2023,DB2,,,,,SQL Server,
TRY_CONVERT,,,,,,,SQL Server,
TSEQUAL,,,,,,,SQL Server,
TYPE,,DB2,,,,,,Teradata
UC,,,,,,,,Teradata
UESCAPE,SQL-2023,,,,,,,
UID,,,,,Oracle,,,
UNDEFINED,,,,,,,,Teradata
UNDER,,,,,,,,Teradata
UNDO,,DB2,,MySQL,,,,Teradata
UNION,SQL-2023,DB2,Mimer,MySQL,Oracle,PostgreSQL,SQL Server,Teradata
UNIQUE,SQL-2023,DB2,Mimer,MySQL,Oracle,PostgreSQL,SQL Server,Teradata
UNKNOWN,SQL-2023,,Mimer,,,,,Teradata
UNLOCK,,,,MySQL,,,,
UNNEST,SQL-2023,,,,,,,Teradata
UNPIVOT,,,,,,,SQL Server,
UNSIGNED,,,,MySQL,,,,
UNTIL,SQL/PSM-2016,DB2,Mimer,,,,,Teradata
UPD,,,,,,,,Teradata
UPDATE,SQL-2023,DB2,Mimer,MySQL,Oracle,,SQL Server,Teradata
UPDATETEXT,,,,,,,SQL Server,
UPPER,SQL-2023,,,,,,,Teradata
UPPERCASE,,,,,,,,Teradata
USAGE,,,,MySQL,,,,Teradata
USE,,,,MySQL,,,SQL Server,
USER,SQL-2023,DB2,Mimer,,Oracle,PostgreSQL,SQL Server,Teradata
USING,SQL-2023,DB2,Mimer,MySQL,,PostgreSQL,,Teradata
UTC_DATE,,,,MySQL,,,,
UTC_TIME,,,,MySQL,,,,
UTC_TIMESTAMP,,,,MySQL,,,,
VALIDATE,,,,,Oracle,,,
VALIDPROC,,DB2,,,,,,
VALUE,SQL-2023,DB2,Mimer,,,,,Teradata
VALUES,SQL-2023,DB2,Mimer,MySQL,Oracle,,SQL Server,Teradata
VALUE_OF,SQL-2023,,,,,,,
VARBINARY,SQL-2023,,,MySQL,,,,
VARBYTE,,,,,,,,Teradata
VARCHAR,SQL-2023,,,MySQL,Oracle,,,Teradata
VARCHAR2,,,,,Oracle,,,
VARCHARACTER,,,,MySQL,,,,
VARGRAPHIC,,,,,,,,Teradata
VARIABLE,,DB2,,,,,,Teradata
VARIADIC,,,,,,PostgreSQL,,
VARIANT,,DB2,,,,,,
VARYING,SQL-2023,,Mimer,MySQL,,,SQL Server,Teradata
VAR_POP,SQL-2023,,,,,,,Teradata
VAR_SAMP,SQL-2023,,,,,,,Teradata
VCAT,,DB2,,,,,,
VERBOSE,,,,,,PostgreSQL,,
VERSIONING,SQL-2023,DB2,,,,,,
VIEW,,DB2,,,Oracle,,SQL Server,Teradata
VIRTUAL,,,,MySQL,,,,
VOLATILE,,DB2,,,,,,Teradata
VOLUMES,,DB2,,,,,,
WAIT,,,,,,,,Teradata
WAITFOR,,,,,,,SQL Server,
WHEN,SQL-2023,DB2,Mimer,MySQL,,PostgreSQL,SQL Server,Teradata
WHENEVER,SQL-2023,DB2,,,Oracle,,,Teradata
WHERE,SQL-2023,DB2,Mimer,MySQL,Oracle,PostgreSQL,SQL Server,Teradata
WHILE,SQL/PSM-2016,DB2,Mimer,MySQL,,,SQL Server,Teradata
WIDTH_BUCKET,SQL-2023,,,,,,,Teradata
WINDOW,SQL-2023,,,MySQL,,PostgreSQL,,
WITH,SQL-2023,DB2,Mimer,MySQL,Oracle,PostgreSQL,SQL Server,Teradata
WITHIN,SQL-2023,,,,,,,
WITHIN_GROUP,,,,,,,SQL Server,
WITHOUT,SQL-2023,,Mimer,,,,,Teradata
WLM,,DB2,,,,,,
WORK,,,,,,,,Teradata
WRITE,,,,MySQL,,,,Teradata
WRITETEXT,,,,,,,SQL Server,
XMLCAST,,DB2,,,,,,
XMLEXISTS,,DB2,,,,,,
XMLNAMESPACES,,DB2,,,,,,
XOR,,,,MySQL,,,,
YEAR,SQL-2023,DB2,Mimer,,,,,Teradata
YEARS,,DB2,,,,,,
YEAR_MONTH,,,,MySQL,,,,
ZEROFILL,,,,MySQL,,,,
ZEROIFNULL,,,,,,,,Teradata
ZONE,,DB2,,,,,,Teradata
